,is_oceanic,time
201505181800,1.0,
201505190000,1.0,
201505190600,0.0,172800.0
201505191200,0.0,216000.0
201505191800,0.0,583200.0
201505200000,0.0,43200.0
201505200600,0.0,507600.0
201505201200,0.0,356400.0
201505201800,0.0,475200.0
201505210000,1.0,
201505210600,0.0,248400.0
201505211200,0.0,302400.0
201505211800,0.0,442800.0
201505220000,1.0,
201505220600,1.0,
201505221200,1.0,
201505221800,1.0,
201505230000,1.0,
201505230600,1.0,
201505231200,0.0,216000.0
201505231800,0.0,270000.0
201505240000,0.0,421200.0
201505240600,1.0,
201505241200,0.0,324000.0
201505241800,1.0,
201505250000,1.0,
201505250600,0.0,129600.0
201505251200,0.0,388800.0
201505251800,0.0,367200.0
201505260000,0.0,442800.0
201505260600,0.0,10800.0
201505261200,1.0,
201505261800,1.0,
201505270000,0.0,108000.0
201505270600,1.0,
201505271200,1.0,
201505271800,1.0,
201505280000,1.0,
201505280600,1.0,
201505281200,1.0,
201505281800,1.0,
201505290000,1.0,
201505290600,1.0,
201505291200,0.0,518400.0
201505291800,0.0,442800.0
201505300000,0.0,421200.0
201505300600,0.0,486000.0
201505301200,1.0,
201505301800,1.0,
201505310000,1.0,
201505310600,1.0,
201505311200,1.0,
201505311800,0.0,442800.0
201506010000,0.0,432000.0
201506010600,0.0,453600.0
201506011200,1.0,
201506011800,1.0,
201506020000,1.0,
201506020600,1.0,
201506021200,1.0,
201506021800,1.0,
201506030000,1.0,
201506030600,1.0,
201506031200,1.0,
201506031800,1.0,
201506040000,1.0,
201506040600,1.0,
201506041200,0.0,518400.0
201506041800,1.0,
201506050000,1.0,
201506050600,0.0,270000.0
201506051200,1.0,
201506051800,1.0,
201506060000,1.0,
201506060600,1.0,
201506061200,1.0,
201506061800,1.0,
201506070000,1.0,
201506070600,1.0,
201506071200,1.0,
201506071800,1.0,
201506080000,1.0,
201506080600,1.0,
201506081200,1.0,
201506081800,1.0,
201506090000,1.0,
201506090600,1.0,
201506091200,1.0,
201506091800,1.0,
201506100000,1.0,
201506100600,0.0,172800.0
201506101200,1.0,
201506101800,1.0,
201506110000,1.0,
201506110600,1.0,
201506111200,1.0,
201506111800,1.0,
201506120000,1.0,
201506120600,1.0,
201506121200,1.0,
201506121800,1.0,
201506130000,1.0,
201506130600,1.0,
201506131200,1.0,
201506131800,1.0,
201506140000,1.0,
201506140600,1.0,
201506141200,1.0,
201506141800,1.0,
201506150000,1.0,
201506150600,1.0,
201506151200,1.0,
201506151800,1.0,
201506160000,1.0,
201506160600,1.0,
201506161200,1.0,
201506161800,1.0,
201506170000,1.0,
201506170600,1.0,
201506171200,1.0,
201506171800,1.0,
201506180000,0.0,86400.0
201506180600,1.0,
201506181200,1.0,
201506181800,0.0,248400.0
201506190000,1.0,
201506190600,1.0,
201506191200,1.0,
201506191800,1.0,
201506200000,1.0,
201506200600,1.0,
201506201200,1.0,
201506201800,1.0,
201506210000,1.0,
201506210600,1.0,
201506211200,1.0,
201506211800,1.0,
201506220000,1.0,
201506220600,1.0,
201506221200,1.0,
201506221800,1.0,
201506230000,1.0,
201506230600,0.0,486000.0
201506231200,0.0,442800.0
201506231800,1.0,
201506240000,1.0,
201506240600,1.0,
201506241200,1.0,
201506241800,1.0,
201506250000,1.0,
201506250600,0.0,518400.0
201506251200,1.0,
201506251800,1.0,
201506260000,0.0,302400.0
201506260600,1.0,
201506261200,0.0,421200.0
201506261800,0.0,399600.0
201506270000,1.0,
201506270600,1.0,
201506271200,0.0,432000.0
201506271800,1.0,
201506280000,1.0,
201506280600,1.0,
201506281200,1.0,
201506281800,0.0,453600.0
201506290000,1.0,
201506290600,1.0,
201506291200,0.0,410400.0
201506291800,0.0,518400.0
201506300000,0.0,561600.0
201506300600,1.0,
201506301200,1.0,
201506301800,1.0,
201507010000,1.0,
201507010600,0.0,334800.0
201507011200,0.0,334800.0
201507011800,0.0,496800.0
201507020000,0.0,496800.0
