,is_oceanic
200707061200,1.0
200707061800,1.0
200707070000,1.0
200707070600,1.0
200707071200,1.0
200707071800,1.0
200707080000,1.0
200707080600,1.0
200707081200,1.0
200707081800,1.0
200707090000,1.0
200707090600,1.0
200707091200,1.0
200707091800,1.0
200707100000,0.0
200707100600,1.0
200707101200,1.0
200707101800,1.0
200707110000,1.0
200707110600,1.0
200707111200,1.0
200707111800,1.0
200707120000,1.0
200707120600,1.0
200707121200,1.0
200707121800,1.0
200707130000,1.0
200707130600,0.0
200707131200,0.0
200707131800,0.0
200707140000,0.0
200707140600,1.0
200707141200,1.0
200707141800,1.0
200707150000,1.0
200707150600,0.0
200707151200,0.0
200707151800,0.0
200707160000,0.0
200707160600,0.0
200707161200,0.0
200707161800,0.0
200707170000,0.0
200707170600,0.0
200707171200,0.0
200707171800,1.0
200707180000,1.0
200707180600,0.0
200707181200,0.0
200707181800,0.0
200707190000,0.0
200707190600,0.0
200707191200,0.0
200707191800,0.0
200707200000,0.0
200707200600,0.0
200707201200,0.0
200707201800,0.0
200707210000,0.0
200707210600,0.0
200707211200,0.0
200707211800,0.0
200707220000,1.0
200707220600,0.0
200707221200,0.0
200707221800,0.0
200707230000,0.0
200707230600,0.0
200707231200,0.0
200707231800,1.0
200707240000,0.0
200707240600,1.0
200707241200,1.0
200707241800,1.0
200707250000,1.0
200707250600,1.0
200707251200,1.0
200707251800,1.0
200707260000,1.0
200707260600,1.0
200707261200,1.0
200707261800,1.0
200707270000,1.0
200707270600,1.0
200707271200,1.0
200707271800,1.0
200707280000,1.0
200707280600,1.0
200707281200,1.0
200707281800,0.0
200707290000,0.0
200707290600,0.0
200707291200,1.0
200707291800,1.0
200707300000,0.0
200707300600,0.0
200707301200,0.0
200707301800,1.0
200707310000,0.0
200707310600,0.0
200707311200,0.0
200707311800,0.0
200708010000,1.0
200708010600,1.0
200708011200,1.0
200708011800,1.0
200708020000,1.0
200708020600,1.0
200708021200,1.0
200708021800,1.0
200708030000,1.0
200708030600,1.0
200708031200,1.0
200708031800,1.0
200708040000,1.0
200708040600,1.0
200708041200,1.0
200708041800,1.0
200708050000,1.0
200708050600,1.0
200708051200,1.0
200708051800,1.0
200708060000,1.0
200708060600,1.0
200708061200,1.0
200708061800,0.0
200708070000,1.0
200708070600,1.0
200708071200,0.0
200708071800,1.0
200708080000,1.0
200708080600,1.0
200708081200,1.0
200708081800,1.0
200708090000,1.0
200708090600,1.0
200708091200,1.0
200708091800,1.0
200708100000,1.0
200708100600,1.0
200708101200,1.0
200708101800,1.0
200708110000,0.0
200708110600,0.0
200708111200,0.0
200708111800,0.0
200708120000,1.0
200708120600,1.0
200708121200,1.0
200708121800,1.0
200708130000,0.0
200708130600,1.0
200708131200,1.0
200708131800,1.0
200708140000,0.0
200708140600,0.0
200708141200,0.0
200708141800,0.0
200708150000,0.0
200708150600,1.0
200708151200,1.0
200708151800,1.0
200708160000,1.0
200708160600,0.0
200708161200,0.0
200708161800,0.0
200708170000,1.0
200708170600,1.0
200708171200,1.0
200708171800,1.0
200708180000,1.0
200708180600,1.0
200708181200,0.0
200708181800,0.0
200708190000,1.0
200708190600,1.0
200708191200,1.0
200708191800,1.0
200708200000,1.0
200708200600,1.0
200708201200,1.0
200708201800,1.0
200708210000,1.0
200708210600,1.0
200708211200,1.0
200708211800,0.0
200708220000,0.0
200708220600,0.0
200708221200,0.0
200708221800,0.0
200708230000,0.0
200708230600,1.0
200708231200,1.0
200708231800,1.0
200708240000,1.0
200708240600,1.0
200708241200,1.0
200708241800,1.0
200708250000,1.0
200708250600,1.0
200708251200,1.0
200708251800,1.0
200708260000,1.0
200708260600,1.0
200708261200,1.0
200708261800,0.0
200708270000,1.0
200708270600,1.0
200708271200,1.0
200708271800,1.0
200708280000,1.0
200708280600,0.0
200708281200,1.0
200708281800,1.0
200708290000,0.0
200708290600,0.0
200708291200,1.0
200708291800,1.0
200708300000,1.0
200708300600,1.0
200708301200,1.0
200708301800,1.0
200708310000,1.0
200708310600,1.0
200708311200,1.0
200708311800,1.0
200709010000,1.0
200709010600,1.0
200709011200,1.0
200709011800,1.0
200709020000,1.0
200709020600,1.0
200709021200,1.0
200709021800,1.0
200709030000,1.0
200709030600,1.0
200709031200,1.0
200709031800,1.0
200709040000,1.0
200709040600,1.0
200709041200,1.0
200709041800,1.0
200709050000,1.0
200709050600,1.0
200709051200,1.0
200709051800,1.0
200709060000,1.0
200709060600,1.0
200709061200,1.0
200709061800,1.0
200709070000,1.0
200709070600,0.0
200709071200,0.0
200709071800,1.0
200709080000,0.0
200709080600,0.0
200709081200,0.0
200709081800,0.0
200709090000,0.0
200709090600,0.0
200709091200,1.0
200709091800,0.0
200709100000,1.0
200709100600,1.0
200709101200,1.0
200709101800,1.0
200709110000,1.0
200709110600,1.0
200709111200,1.0
200709111800,1.0
200709120000,1.0
200709120600,1.0
200709121200,1.0
200709121800,1.0
200709130000,0.0
200709130600,0.0
200709131200,0.0
200709131800,1.0
200709140000,1.0
200709140600,1.0
200709141200,1.0
200709141800,1.0
200709150000,1.0
200709150600,1.0
200709151200,1.0
200709151800,1.0
200709160000,1.0
200709160600,1.0
200709161200,1.0
200709161800,1.0
200709170000,1.0
200709170600,1.0
200709171200,1.0
200709171800,1.0
200709180000,1.0
200709180600,1.0
200709181200,1.0
200709181800,1.0
200709190000,1.0
200709190600,1.0
200709191200,1.0
200709191800,1.0
200709200000,1.0
200709200600,1.0
200709201200,1.0
200709201800,1.0
200709210000,1.0
200709210600,1.0
200709211200,1.0
200709211800,1.0
200709220000,1.0
200709220600,1.0
200709221200,1.0
200709221800,1.0
200709230000,1.0
200709230600,1.0
200709231200,1.0
200709231800,1.0
200709240000,1.0
200709240600,1.0
200709241200,0.0
200709241800,1.0
200709250000,0.0
200709250600,1.0
200709251200,1.0
200709251800,1.0
200709260000,0.0
200709260600,0.0
200709261200,0.0
200709261800,0.0
200709270000,0.0
200709270600,0.0
200709271200,0.0
200709271800,0.0
200709280000,0.0
200709280600,0.0
200709281200,0.0
200709281800,0.0
200709290000,0.0
200709290600,0.0
200709291200,0.0
200709291800,0.0
200709300000,0.0
200709300600,0.0
200709301200,0.0
200709301800,0.0
200710010000,0.0
200710010600,0.0
200710011200,0.0
200710011800,0.0
200710020000,0.0
200710020600,0.0
200710021200,0.0
200710021800,0.0
200710030000,0.0
200710030600,0.0
200710031200,1.0
200710031800,1.0
200710040000,1.0
200710040600,1.0
200710041200,1.0
200710041800,1.0
200710050000,0.0
200710050600,0.0
200710051200,1.0
200710051800,1.0
200710060000,1.0
200710060600,1.0
200710061200,1.0
200710061800,0.0
200710070000,0.0
200710070600,0.0
200710071200,0.0
200710071800,0.0
200710080000,0.0
200710080600,0.0
200710081200,0.0
200710081800,1.0
200710090000,1.0
200710090600,1.0
200710091200,1.0
200710091800,1.0
200710100000,1.0
200710100600,1.0
200710101200,1.0
200710101800,1.0
200710110000,1.0
200710110600,1.0
200710111200,1.0
200710111800,1.0
200710120000,1.0
200710120600,1.0
200710121200,1.0
200710121800,1.0
200710130000,1.0
200710130600,0.0
200710131200,0.0
200710131800,0.0
200710140000,0.0
200710140600,0.0
200710141200,0.0
200710141800,1.0
200710150000,1.0
200710150600,1.0
200710151200,1.0
200710151800,1.0
200710160000,1.0
200710160600,1.0
200710161200,0.0
200710161800,1.0
200710170000,1.0
200710170600,1.0
200710171200,1.0
200710171800,1.0
200710180000,1.0
200710180600,0.0
200710181200,0.0
200710181800,0.0
200710190000,1.0
200710190600,1.0
200710191200,0.0
200710191800,0.0
200710200000,0.0
200710200600,0.0
200710201200,0.0
200710201800,0.0
200710210000,0.0
200710210600,0.0
200710211200,0.0
200710211800,0.0
200710220000,0.0
200710220600,1.0
200710221200,1.0
200710221800,0.0
200710230000,0.0
200710230600,0.0
200710231200,0.0
200710231800,0.0
200710240000,0.0
200710240600,0.0
200710241200,0.0
200710241800,0.0
200710250000,0.0
200710250600,0.0
200710251200,0.0
200710251800,0.0
200710260000,1.0
200710260600,1.0
200710261200,1.0
200710261800,1.0
200710270000,1.0
200710270600,1.0
200710271200,1.0
200710271800,1.0
200710280000,1.0
200710280600,1.0
200710281200,1.0
200710281800,0.0
200710290000,1.0
200710290600,1.0
200710291200,1.0
200710291800,1.0
200710300000,1.0
200710300600,0.0
200710301200,1.0
200710301800,1.0
200710310000,1.0
200710310600,1.0
200710311200,1.0
200710311800,1.0
200711010000,1.0
200711010600,1.0
200711011200,1.0
200711011800,1.0
200711020000,1.0
200711020600,0.0
200711021200,0.0
200711021800,0.0
200711030000,0.0
200711030600,0.0
200711031200,0.0
200711031800,0.0
200711040000,0.0
200711040600,0.0
200711041200,0.0
200711041800,1.0
200711050000,0.0
200711050600,0.0
200711051200,1.0
200711051800,1.0
200711060000,1.0
200711060600,1.0
200711061200,1.0
200711061800,1.0
200711070000,1.0
200711070600,1.0
200711071200,1.0
200711071800,1.0
200711080000,1.0
200711080600,1.0
200711081200,1.0
200711081800,1.0
200711090000,1.0
200711090600,1.0
200711091200,1.0
200711091800,1.0
200711100000,1.0
200711100600,1.0
200711101200,1.0
200711101800,1.0
200711110000,1.0
200711110600,1.0
200711111200,1.0
200711111800,0.0
200711120000,0.0
200711120600,0.0
200711121200,1.0
200711121800,1.0
200711130000,1.0
200711130600,1.0
200711131200,1.0
200711131800,1.0
200711140000,1.0
200711140600,1.0
200711141200,1.0
200711141800,1.0
200711150000,0.0
200711150600,0.0
200711151200,0.0
200711151800,0.0
200711160000,0.0
200711160600,1.0
200711161200,1.0
200711161800,1.0
200711170000,1.0
200711170600,1.0
200711171200,1.0
200711171800,1.0
200711180000,0.0
200711180600,1.0
200711181200,1.0
200711181800,0.0
200711190000,1.0
200711190600,0.0
200711191200,0.0
200711191800,0.0
200711200000,0.0
200711200600,0.0
200711201200,0.0
200711201800,0.0
200711210000,0.0
200711210600,0.0
200711211200,0.0
200711211800,0.0
200711220000,0.0
200711220600,1.0
200711221200,0.0
200711221800,0.0
200711230000,1.0
200711230600,0.0
200711231200,0.0
200711231800,0.0
200711240000,1.0
200711240600,1.0
200711241200,1.0
200711241800,1.0
200711250000,1.0
200711250600,1.0
200711251200,1.0
200711251800,1.0
200711260000,1.0
200711260600,1.0
200711261200,1.0
200711261800,1.0
200711270000,1.0
200711270600,1.0
200711271200,1.0
200711271800,1.0
200711280000,1.0
200711280600,1.0
200711281200,1.0
200711281800,1.0
200711290000,1.0
200711290600,1.0
200711291200,1.0
200711291800,1.0
200711300000,1.0
200711300600,1.0
200711301200,1.0
200711301800,1.0
200712010000,1.0
200712010600,1.0
200712011200,1.0
200712011800,1.0
200712020000,1.0
200712020600,1.0
200712021200,1.0
200712021800,1.0
200712030000,1.0
200712030600,1.0
200712031200,1.0
200712031800,1.0
200712040000,1.0
200712040600,1.0
200712041200,1.0
200712041800,1.0
200712050000,1.0
200712050600,1.0
200712051200,1.0
200712051800,1.0
200712060000,1.0
200712060600,1.0
200712061200,1.0
200712061800,1.0
200712070000,1.0
200712070600,1.0
200712071200,1.0
200712071800,1.0
200712080000,1.0
200712080600,1.0
200712081200,1.0
200712081800,1.0
200712090000,1.0
200712090600,1.0
200712091200,1.0
200712091800,1.0
200712100000,1.0
200712100600,1.0
200712101200,1.0
200712101800,1.0
200712110000,1.0
200712110600,1.0
200712111200,1.0
200712111800,1.0
200712120000,1.0
200712120600,1.0
200712121200,1.0
200712121800,1.0
200712130000,1.0
200712130600,1.0
200712131200,1.0
200712131800,1.0
200712140000,1.0
200712140600,1.0
200712141200,1.0
200712141800,1.0
200712150000,1.0
200712150600,1.0
200712151200,1.0
200712151800,0.0
200712160000,0.0
200712160600,0.0
200712161200,0.0
200712161800,0.0
200712170000,0.0
200712170600,0.0
200712171200,0.0
200712171800,0.0
200712180000,0.0
200712180600,0.0
200712181200,0.0
200712181800,0.0
200712190000,0.0
200712190600,0.0
200712191200,0.0
200712191800,0.0
