,is_oceanic,time
201604141800,1.0,
201604150000,1.0,
201604150600,1.0,
201604151200,1.0,
201604151800,1.0,
201604160000,1.0,
201604160600,1.0,
201604161200,1.0,
201604161800,1.0,
201604170000,1.0,
201604170600,1.0,
201604171200,1.0,
201604171800,1.0,
201604180000,1.0,
201604180600,1.0,
201604181200,1.0,
201604181800,1.0,
201604190000,1.0,
201604190600,1.0,
201604191200,1.0,
201604191800,1.0,
201604200000,1.0,
201604200600,1.0,
201604201200,1.0,
201604201800,1.0,
201604210000,1.0,
201604210600,1.0,
201604211200,1.0,
201604211800,0.0,475200.0
201604220000,1.0,
201604220600,0.0,550800.0
201604221200,1.0,
201604221800,1.0,
201604230000,1.0,
201604230600,1.0,
201604231200,1.0,
201604231800,1.0,
201604240000,1.0,
201604240600,1.0,
201604241200,1.0,
201604241800,0.0,550800.0
201604250000,1.0,
201604250600,0.0,108000.0
201604251200,0.0,86400.0
201604251800,0.0,172800.0
201604260000,0.0,151200.0
201604260600,0.0,140400.0
201604261200,0.0,151200.0
201604261800,0.0,118800.0
201604270000,0.0,129600.0
201604270600,0.0,140400.0
201604271200,0.0,162000.0
201604271800,0.0,194400.0
201604280000,0.0,129600.0
201604280600,0.0,237600.0
201604281200,0.0,270000.0
201604281800,0.0,237600.0
201604290000,0.0,183600.0
201604290600,0.0,172800.0
201604291200,0.0,216000.0
201604291800,0.0,129600.0
201604300000,0.0,259200.0
201604300600,0.0,356400.0
201604301200,0.0,248400.0
201604301800,0.0,280800.0
201605010000,1.0,
201605010600,1.0,
201605011200,1.0,
201605011800,1.0,
201605020000,1.0,
201605020600,0.0,97200.0
201605021200,0.0,75600.0
201605021800,0.0,21600.0
201605030000,1.0,
201605030600,1.0,
201605031200,0.0,410400.0
201605031800,0.0,464400.0
201605040000,0.0,410400.0
201605040600,1.0,
201605041200,0.0,32400.0
201605041800,0.0,64800.0
201605050000,0.0,75600.0
201605050600,0.0,140400.0
201605051200,0.0,151200.0
201605051800,1.0,
201605060000,1.0,
201605060600,1.0,
201605061200,1.0,
201605061800,1.0,
201605070000,0.0,64800.0
201605070600,0.0,75600.0
201605071200,0.0,226800.0
201605071800,0.0,345600.0
201605080000,0.0,162000.0
201605080600,0.0,388800.0
201605081200,0.0,356400.0
201605081800,0.0,378000.0
201605090000,0.0,118800.0
201605090600,0.0,226800.0
201605091200,0.0,194400.0
201605091800,0.0,345600.0
201605100000,1.0,
201605100600,1.0,
201605101200,1.0,
201605101800,1.0,
201605110000,1.0,
201605110600,1.0,
201605111200,1.0,
201605220000,0.0,43200.0
201605220600,0.0,86400.0
201605221200,0.0,140400.0
201605221800,1.0,
201605230000,1.0,
201605230600,1.0,
201605231200,1.0,
201605231800,1.0,
201605240000,1.0,
201605240600,1.0,
201605241200,1.0,
201605241800,1.0,
201605250000,0.0,108000.0
201605250600,0.0,216000.0
201605251200,0.0,205200.0
201605251800,0.0,248400.0
201605260000,0.0,324000.0
201605260600,1.0,
201605261200,1.0,
201605261800,1.0,
201605270000,1.0,
201605270600,1.0,
201605271200,1.0,
201605271800,1.0,
201605280000,1.0,
201605280600,1.0,
201605281200,1.0,
201605281800,1.0,
201605290000,1.0,
201605290600,1.0,
201605291200,1.0,
201605291800,1.0,
201605300000,0.0,64800.0
201605300600,0.0,97200.0
201605301200,0.0,97200.0
201605301800,0.0,54000.0
201605310000,1.0,
201605310600,1.0,
201605311200,1.0,
201605311800,1.0,
201606010000,1.0,
201606010600,1.0,
201606011200,1.0,
201606011800,0.0,226800.0
201606020000,0.0,226800.0
201606020600,0.0,54000.0
201606021200,0.0,54000.0
201606021800,0.0,43200.0
201606030000,0.0,43200.0
201606030600,1.0,
201606031200,1.0,
201606031800,0.0,21600.0
201606040000,0.0,21600.0
201606040600,0.0,21600.0
201606041200,0.0,21600.0
201606041800,1.0,
201606050000,0.0,75600.0
201606050600,0.0,140400.0
201606051200,0.0,162000.0
201606051800,0.0,291600.0
201606060000,0.0,280800.0
201606060600,0.0,216000.0
201606061200,0.0,151200.0
201606061800,1.0,
201606070000,0.0,216000.0
201606070600,1.0,
201606071200,1.0,
201606071800,0.0,302400.0
201606080000,1.0,
201606080600,1.0,
201606081200,0.0,97200.0
201606081800,0.0,162000.0
201606090000,0.0,313200.0
201606090600,1.0,
201606091200,1.0,
201606091800,1.0,
201606100000,1.0,
201606100600,1.0,
201606101200,1.0,
201606101800,1.0,
201606110000,1.0,
201606110600,1.0,
201606111200,1.0,
201606111800,1.0,
201606120000,1.0,
201606120600,1.0,
201606121200,1.0,
201606121800,1.0,
201606130000,0.0,86400.0
201606130600,0.0,108000.0
201606131200,0.0,162000.0
201606131800,0.0,162000.0
201606140000,0.0,194400.0
201606140600,0.0,183600.0
201606141200,0.0,313200.0
201606141800,0.0,486000.0
201606150000,0.0,518400.0
201606150600,0.0,367200.0
201606151200,0.0,259200.0
201606151800,0.0,259200.0
201606160000,0.0,345600.0
201606160600,0.0,313200.0
201606161200,0.0,388800.0
201606161800,0.0,280800.0
201606170000,0.0,334800.0
201606170600,0.0,334800.0
201606171200,0.0,248400.0
201606171800,0.0,367200.0
201606180000,0.0,453600.0
201606180600,0.0,496800.0
201606181200,0.0,421200.0
201606181800,0.0,75600.0
201606190000,0.0,108000.0
201606190600,0.0,43200.0
201606191200,0.0,64800.0
201606191800,0.0,108000.0
201606200000,0.0,64800.0
201606200600,0.0,54000.0
201606201200,0.0,237600.0
201606201800,0.0,259200.0
201606210000,1.0,
201606210600,0.0,118800.0
201606211200,1.0,
201606211800,1.0,
201606220000,1.0,
201606220600,1.0,
201606221800,1.0,
201606230000,1.0,
201606230600,1.0,
201606231200,0.0,475200.0
201606231800,1.0,
201606240000,0.0,550800.0
201606240600,0.0,356400.0
201606241200,0.0,378000.0
201606241800,0.0,388800.0
201606250000,1.0,
201606250600,1.0,
201606251200,1.0,
201606251800,0.0,64800.0
201606260000,0.0,75600.0
201606260600,0.0,140400.0
201606261200,0.0,183600.0
201606270000,1.0,
201606270600,1.0,
201606271200,1.0,
201606271800,1.0,
201606280000,1.0,
201606280600,1.0,
201606281200,0.0,172800.0
201606281800,0.0,280800.0
201606290000,0.0,183600.0
201606290600,0.0,129600.0
201606291200,0.0,194400.0
201606291800,0.0,151200.0
201606300000,0.0,280800.0
201606300600,0.0,205200.0
201606301200,0.0,280800.0
201606301800,1.0,
201607010000,1.0,
201607010600,1.0,
201607011200,1.0,
201607011800,1.0,
201607020000,1.0,
201607020600,1.0,
201607021200,1.0,
201607021800,1.0,
201607030000,1.0,
201607030600,1.0,
201607031200,0.0,291600.0
201607031800,1.0,
201607040000,0.0,172800.0
201607040600,0.0,270000.0
201607041200,0.0,248400.0
201607041800,0.0,259200.0
201607050000,0.0,302400.0
201607050600,0.0,356400.0
201607051200,0.0,54000.0
201607051800,0.0,32400.0
201607060000,0.0,32400.0
201607060600,0.0,43200.0
201607061200,0.0,54000.0
201607061800,0.0,43200.0
201607070000,0.0,54000.0
201607070600,0.0,43200.0
201607071200,0.0,43200.0
201607071800,0.0,32400.0
201607080000,1.0,
201607080600,1.0,
201607081200,1.0,
201607081800,0.0,129600.0
201607090000,0.0,183600.0
201607090600,1.0,
201607091200,0.0,162000.0
201607091800,0.0,259200.0
201607100000,0.0,270000.0
201607100600,0.0,216000.0
201607101200,0.0,205200.0
201607101800,0.0,118800.0
201607110000,0.0,183600.0
201607110600,0.0,151200.0
201607111200,0.0,432000.0
201607111800,0.0,32400.0
201607120000,0.0,64800.0
201607120600,1.0,
201607121200,0.0,475200.0
201607121800,0.0,410400.0
201607130000,0.0,475200.0
201607130600,0.0,486000.0
201607131200,1.0,
201607131800,1.0,
201607140000,1.0,
201607140600,1.0,
201607141200,1.0,
201607141800,1.0,
201607150000,1.0,
201607150600,1.0,
201607151200,1.0,
201607151800,1.0,
201607160000,0.0,216000.0
201607160600,0.0,172800.0
201607161200,0.0,183600.0
201607161800,0.0,129600.0
201607170000,0.0,97200.0
201607170600,0.0,64800.0
201607171200,0.0,86400.0
201607171800,0.0,162000.0
201607180000,0.0,172800.0
201607180600,0.0,118800.0
201607181200,0.0,162000.0
201607181800,0.0,108000.0
201607190000,0.0,172800.0
201607190600,0.0,172800.0
201607191200,0.0,172800.0
201607191800,0.0,172800.0
201607200000,0.0,172800.0
201607200600,0.0,172800.0
201607201200,0.0,172800.0
201607201800,0.0,172800.0
201607210000,0.0,172800.0
201607210600,0.0,172800.0
201607211200,0.0,172800.0
201607211800,0.0,172800.0
201607220000,0.0,172800.0
201607220600,0.0,172800.0
201607221200,0.0,172800.0
201607221800,0.0,172800.0
201607230000,0.0,172800.0
201607230600,0.0,172800.0
201607231200,0.0,172800.0
201607231800,0.0,172800.0
201607240000,0.0,172800.0
201607240600,0.0,172800.0
201607241200,0.0,172800.0
201607241800,0.0,172800.0
201607250000,0.0,172800.0
201607250600,0.0,172800.0
201607251200,0.0,172800.0
201607251800,0.0,172800.0
201607260000,0.0,172800.0
201607260600,0.0,172800.0
201607261200,0.0,172800.0
201607261800,0.0,172800.0
201607270000,0.0,172800.0
201607270600,0.0,172800.0
201607271200,0.0,172800.0
201607271800,0.0,172800.0
201607280000,0.0,259200.0
201607280600,0.0,378000.0
201607281200,0.0,216000.0
201607281800,1.0,
201607290000,1.0,
201607290600,1.0,
201607291200,1.0,
201607291800,1.0,
201607300000,1.0,
201607300600,0.0,291600.0
201607301200,0.0,183600.0
201607301800,0.0,345600.0
201607310000,1.0,
201607310600,1.0,
201607311200,1.0,
201607311800,0.0,54000.0
201608010000,0.0,313200.0
201608010600,1.0,
201608011200,1.0,
201608011800,1.0,
201608020000,1.0,
201608020600,1.0,
201608021200,1.0,
201608021800,1.0,
201608030000,1.0,
201608030600,1.0,
201608031200,0.0,32400.0
201608031800,0.0,54000.0
201608040000,0.0,43200.0
201608040600,0.0,54000.0
201608041200,0.0,64800.0
201608041800,0.0,86400.0
201608051200,0.0,129600.0
201608051800,0.0,151200.0
201608060000,0.0,162000.0
201608060600,0.0,183600.0
201608061200,0.0,97200.0
201608061800,0.0,118800.0
201608070000,0.0,248400.0
201608070600,0.0,259200.0
201608071200,0.0,259200.0
201608071800,0.0,291600.0
201608080000,0.0,367200.0
201608080600,0.0,32400.0
201608081200,0.0,21600.0
201608081800,0.0,21600.0
201608090000,0.0,21600.0
201608090600,0.0,183600.0
201608091200,0.0,226800.0
201608091800,1.0,
201608100000,1.0,
201608100600,1.0,
201608101200,1.0,
201608101800,1.0,
201608110000,1.0,
201608110600,1.0,
201608111200,1.0,
201608111800,1.0,
201608120000,0.0,54000.0
201608120600,0.0,97200.0
201608121200,0.0,216000.0
201608121800,1.0,
201608130000,1.0,
201608130600,1.0,
201608131200,1.0,
201608131800,1.0,
201608140000,1.0,
201608141200,1.0,
201608141800,1.0,
201608150000,1.0,
201608150600,0.0,75600.0
201608151200,0.0,183600.0
201608160000,0.0,140400.0
201608160600,0.0,172800.0
201608161200,0.0,205200.0
201608161800,0.0,270000.0
201608170000,0.0,302400.0
201608170600,1.0,
201608171800,0.0,43200.0
201608180000,0.0,54000.0
201608180600,0.0,64800.0
201608181200,0.0,64800.0
201608181800,0.0,118800.0
201608190000,0.0,216000.0
201608190600,1.0,
201608191200,1.0,
201608191800,1.0,
201608200000,1.0,
201608200600,1.0,
201608201200,1.0,
201608201800,1.0,
201608210000,1.0,
201608210600,1.0,
201608211200,1.0,
201608211800,1.0,
201608220000,1.0,
201608220600,1.0,
201608221200,1.0,
201608221800,1.0,
201608230000,1.0,
201608230600,1.0,
201608231200,1.0,
201608231800,1.0,
201608240000,1.0,
201608240600,1.0,
201608241200,1.0,
201608241800,0.0,453600.0
201608250000,0.0,442800.0
201608250600,1.0,
201608251200,1.0,
201608251800,1.0,
201608260000,1.0,
201608260600,1.0,
201608261200,1.0,
201608261800,1.0,
201608270000,1.0,
201608270600,1.0,
201608271200,0.0,129600.0
201608271800,1.0,
201608280000,1.0,
201608280600,1.0,
201608281200,1.0,
201608281800,0.0,21600.0
201608290000,0.0,43200.0
201608290600,1.0,
201608291200,0.0,64800.0
201608291800,0.0,205200.0
201608300000,0.0,151200.0
201608300600,0.0,313200.0
201608301200,0.0,183600.0
201608301800,0.0,194400.0
201608310000,0.0,248400.0
201608310600,1.0,
201608311200,1.0,
201608311800,0.0,453600.0
201609010000,1.0,
201609010600,1.0,
201609011200,1.0,
201609011800,1.0,
201609020000,0.0,21600.0
201609020600,0.0,75600.0
201609021200,0.0,108000.0
201609021800,0.0,140400.0
201609030000,0.0,108000.0
201609031800,1.0,
201609040000,1.0,
201609040600,1.0,
201609041200,1.0,
201609041800,1.0,
201609050000,1.0,
201609050600,1.0,
201609051200,1.0,
201609051800,1.0,
201609060000,1.0,
201609060600,1.0,
201609061200,1.0,
201609061800,0.0,21600.0
201609070000,0.0,356400.0
201609070600,0.0,86400.0
201609071200,0.0,237600.0
201609080000,0.0,129600.0
201609080600,0.0,194400.0
201609081200,0.0,205200.0
201609081800,0.0,237600.0
201609090000,0.0,183600.0
201609090600,0.0,194400.0
201609091200,0.0,324000.0
201609091800,1.0,
201609100000,1.0,
201609100600,1.0,
201609101200,1.0,
201609101800,1.0,
201609110000,1.0,
201609110600,1.0,
201609111200,1.0,
201609111800,1.0,
201609120000,1.0,
201609120600,1.0,
201609121200,0.0,10800.0
201609121800,0.0,43200.0
201609130000,0.0,43200.0
201609130600,0.0,151200.0
201609131200,0.0,21600.0
201609131800,0.0,21600.0
201609140000,0.0,21600.0
201609140600,0.0,270000.0
201609141200,0.0,345600.0
201609141800,0.0,388800.0
201609150000,0.0,324000.0
201609150600,1.0,
201609151200,1.0,
201609151800,1.0,
201609160000,1.0,
201609160600,1.0,
201609161200,0.0,54000.0
201609170000,0.0,151200.0
201609170600,0.0,205200.0
201609171200,0.0,151200.0
201609171800,0.0,205200.0
201609180000,1.0,
201609180600,1.0,
201609181200,1.0,
201609181800,1.0,
201609190000,1.0,
201609190600,1.0,
201609191200,1.0,
201609191800,0.0,97200.0
201609200000,0.0,97200.0
201609200600,0.0,183600.0
201609201200,0.0,194400.0
201609201800,0.0,205200.0
201609210000,0.0,226800.0
201609210600,0.0,64800.0
201609211200,1.0,
201609211800,1.0,
201609220000,1.0,
201609220600,1.0,
201609221200,1.0,
201609221800,1.0,
201609230000,0.0,64800.0
201609230600,0.0,108000.0
201609231200,0.0,108000.0
201609231800,0.0,432000.0
201609240000,0.0,194400.0
201609241200,0.0,194400.0
201609241800,1.0,
201609250000,1.0,
201609250600,1.0,
201609251200,1.0,
201609251800,1.0,
201609260000,1.0,
201609260600,0.0,86400.0
201609261200,0.0,118800.0
201609261800,0.0,129600.0
201609270600,1.0,
201609271200,1.0,
201609271800,1.0,
201609280000,1.0,
201609280600,0.0,86400.0
201609281200,0.0,97200.0
201609281800,0.0,172800.0
201609290000,0.0,183600.0
201609290600,0.0,237600.0
201609291200,0.0,313200.0
201609291800,0.0,259200.0
201609300000,0.0,140400.0
201609300600,0.0,162000.0
201609301200,0.0,162000.0
201609301800,1.0,
201610010000,1.0,
201610010600,1.0,
201610011200,1.0,
201610011800,1.0,
201610020000,0.0,43200.0
201610020600,0.0,151200.0
201610021200,0.0,162000.0
201610021800,0.0,205200.0
201610030000,1.0,
201610030600,1.0,
201610031200,1.0,
201610031800,1.0,
201610040000,1.0,
201610040600,1.0,
201610041200,1.0,
201610041800,1.0,
201610050000,1.0,
201610050600,1.0,
201610051200,1.0,
201610051800,0.0,172800.0
201610060000,0.0,205200.0
201610060600,0.0,43200.0
201610061200,0.0,172800.0
201610061800,0.0,183600.0
201610070000,0.0,334800.0
201610070600,1.0,
201610071200,1.0,
201610071800,1.0,
201610080000,0.0,518400.0
201610080600,1.0,
201610081200,1.0,
201610081800,0.0,32400.0
201610090000,0.0,21600.0
201610090600,0.0,108000.0
201610091200,0.0,140400.0
201610091800,1.0,
201610100000,0.0,604800.0
201610100600,0.0,604800.0
201610101200,1.0,
201610101800,0.0,604800.0
201610110000,0.0,518400.0
201610110600,1.0,
201610111200,1.0,
201610111800,1.0,
201610120000,1.0,
201610121200,1.0,
201610121800,1.0,
201610130000,1.0,
201610130600,1.0,
201610131200,1.0,
201610131800,1.0,
201610140000,1.0,
201610140600,1.0,
201610141200,0.0,86400.0
201610141800,0.0,97200.0
201610150000,0.0,129600.0
201610150600,0.0,108000.0
201610151200,0.0,86400.0
201610151800,0.0,194400.0
201610160000,0.0,108000.0
201610160600,0.0,248400.0
201610161200,1.0,
201610161800,1.0,
201610170000,1.0,
201610170600,1.0,
201610171200,1.0,
201610171800,1.0,
201610180000,1.0,
201610180600,1.0,
201610181200,0.0,604800.0
201610181800,0.0,604800.0
201610190000,0.0,604800.0
201610190600,0.0,464400.0
201610191200,1.0,
201610191800,0.0,43200.0
201610200000,0.0,32400.0
201610200600,0.0,21600.0
201610201200,0.0,43200.0
201610201800,0.0,86400.0
201610210000,1.0,
201610210600,1.0,
201610211200,1.0,
201610211800,1.0,
201610220000,1.0,
201610220600,1.0,
201610221200,1.0,
201610221800,1.0,
201610230000,1.0,
201610230600,1.0,
201610231200,1.0,
201610231800,1.0,
201610240000,1.0,
201610240600,1.0,
201610241200,1.0,
201610241800,1.0,
201610250000,0.0,54000.0
201610250600,0.0,162000.0
201610251200,0.0,226800.0
201610251800,0.0,291600.0
201610260000,1.0,
201610260600,1.0,
201610261200,1.0,
201610261800,1.0,
201610270000,0.0,604800.0
201610270600,0.0,594000.0
201610271200,0.0,486000.0
201610271800,0.0,10800.0
201610280000,1.0,
201610280600,0.0,43200.0
201610281200,1.0,
201610281800,0.0,21600.0
201610290000,0.0,54000.0
201610290600,1.0,
201610291200,1.0,
201610291800,0.0,270000.0
201610300000,0.0,183600.0
201610300600,1.0,
201610301200,0.0,583200.0
201610301800,1.0,
201610310000,0.0,540000.0
201610310600,0.0,583200.0
201610311200,1.0,
201610311800,1.0,
201611010000,1.0,
201611010600,1.0,
201611011200,1.0,
201611011800,1.0,
201611020000,1.0,
201611020600,1.0,
201611021200,1.0,
201611021800,1.0,
201611030000,1.0,
201611030600,1.0,
201611031200,1.0,
201611031800,1.0,
201611040000,0.0,64800.0
201611040600,1.0,
201611041200,1.0,
201611041800,1.0,
201611050000,1.0,
201611050600,1.0,
201611051200,1.0,
201611051800,1.0,
201611060000,1.0,
201611060600,1.0,
201611061200,1.0,
201611061800,1.0,
201611070000,1.0,
201611070600,1.0,
201611071200,0.0,604800.0
201611071800,1.0,
201611080000,1.0,
201611080600,1.0,
201611081200,0.0,604800.0
201611081800,0.0,604800.0
201611090000,1.0,
201611090600,1.0,
201611091200,1.0,
